layer,name,description,mobile_numbers,latitude,longitude,altitude,style,google_maps_url
"Directions from Dnyaneshwar maharaj mandir, Alandi, Pune, Maharashtra to Nira, Maharashtra","Dnyaneshwar maharaj mandir, Alandi, Pune, Maharashtra",,,18.678329,73.8949536,0,#icon-1899-DB4436-nodesc,"https://www.google.com/maps/search/?api=1&query=18.678329,73.8949536"
"Directions from Dnyaneshwar maharaj mandir, Alandi, Pune, Maharashtra to Nira, Maharashtra","Bhosari, Pimpri-Chinchwad, Maharashtra",,,18.6321356,73.8468006,0,#icon-1899-DB4436-nodesc,"https://www.google.com/maps/search/?api=1&query=18.6321356,73.8468006"
"Directions from Dnyaneshwar maharaj mandir, Alandi, Pune, Maharashtra to Nira, Maharashtra","Bhavani Peth, Pune, Maharashtra",,,18.5116948,73.869999,0,#icon-1899-DB4436-nodesc,"https://www.google.com/maps/search/?api=1&query=18.5116948,73.869999"
"Directions from Dnyaneshwar maharaj mandir, Alandi, Pune, Maharashtra to Nira, Maharashtra","Hadapsar, Pune, Maharashtra",,,18.5089623,73.925947,0,#icon-1899-DB4436-nodesc,"https://www.google.com/maps/search/?api=1&query=18.5089623,73.925947"
"Directions from Dnyaneshwar maharaj mandir, Alandi, Pune, Maharashtra to Nira, Maharashtra","Saswad, Maharashtra",,,18.3462881,74.0301639,0,#icon-1899-DB4436-nodesc,"https://www.google.com/maps/search/?api=1&query=18.3462881,74.0301639"
"Directions from Dnyaneshwar maharaj mandir, Alandi, Pune, Maharashtra to Nira, Maharashtra","Jejuri, Maharashtra",,,18.278113,74.1612702,0,#icon-1899-DB4436-nodesc,"https://www.google.com/maps/search/?api=1&query=18.278113,74.1612702"
"Directions from Dnyaneshwar maharaj mandir, Alandi, Pune, Maharashtra to Nira, Maharashtra","Walhe, Maharashtra",,,18.1804778,74.1521566,0,#icon-1899-DB4436-nodesc,"https://www.google.com/maps/search/?api=1&query=18.1804778,74.1521566"
"Directions from Dnyaneshwar maharaj mandir, Alandi, Pune, Maharashtra to Nira, Maharashtra","Nira, Maharashtra",,,18.1029763,74.2148905,0,#icon-1899-DB4436-nodesc,"https://www.google.com/maps/search/?api=1&query=18.1029763,74.2148905"
Health Facilities in the Route - PHC locations,"Primary Health Center Shelpimpalgaon , Khed block",Shelpimpalgaon PHC | Total 6 beds available | Dr. Ashok Chamkure | Mobile Number - 7350242541,7350242541,18.7351634,73.9505976,0,#icon-seq2-1-0-C2185B,"https://www.google.com/maps/search/?api=1&query=18.7351634,73.9505976"
Health Facilities in the Route - PHC locations,"Primary Health Center, Fursungi,Purandar Block","Primary Health Center Fursungi, | Purandar Block | Total 6 Bed Availability | Dr. Sucheta Kadam | Mobile Number - 7385550615",7385550615,18.4738763,73.9761745,0,#icon-seq2-1-1-C2185B,"https://www.google.com/maps/search/?api=1&query=18.4738763,73.9761745"
Health Facilities in the Route - PHC locations,Primary Health Centre Malshiras Purandar Block,Primary Health Centre Malshiras | Purandar Block | Total 4 Bed Availability. | Dr. Shubhamkar Deshmukh | Mobile Number - 9518592320,9518592320,18.4092226,74.2328311,0,#icon-seq2-1-2-C2185B,"https://www.google.com/maps/search/?api=1&query=18.4092226,74.2328311"
Health Facilities in the Route - PHC locations,Primary Health Centre Belsar Purandar,"Primary Health Centre, Belsar | Purandar Block | Total 6 Bed Availability. | Dr. Anuradha Borade | Mobile Number -8605487422",8605487422,18.3171638,74.1308421,0,#icon-seq2-1-3-C2185B,"https://www.google.com/maps/search/?api=1&query=18.3171638,74.1308421"
Health Facilities in the Route - PHC locations,Primary Health Center WALHA Purandar,Primary Health Center Walha | Purandar Block | Total 6 Bed Availability. | Dr Sushma Deshmukh | Mobile Number - 9049024525,9049024525,18.1842756,74.1577956,0,#icon-seq2-1-4-C2185B,"https://www.google.com/maps/search/?api=1&query=18.1842756,74.1577956"
Health Facilities in the Route - PHC locations,"Primary Health Center NIRA, Purandar","Primary Health Center NIRA, | Purandar Block | Total 9 bed Available | Dr. Naresh Bagul | Mobile Number - 8605944119",8605944119,18.1082135,74.210542,0,#icon-seq2-1-5-C2185B,"https://www.google.com/maps/search/?api=1&query=18.1082135,74.210542"
Palakhi Route Night Stay,Alandi  (Night Stay ),STAY DATE - 8 /07/2026 AT ALANDI PUNE,,18.6782865,73.8950336,0,#icon-seq2-2-0-FBC02D,"https://www.google.com/maps/search/?api=1&query=18.6782865,73.8950336"
Palakhi Route Night Stay,Bhawani Peth (2 Night stay  ),Bhavani Peth NIGHT STAY - 9/7/2026 & 10/7/2026,,18.5116565,73.8699182,0,#icon-seq2-2-1-FBC02D,"https://www.google.com/maps/search/?api=1&query=18.5116565,73.8699182"
Palakhi Route Night Stay,Saswad (Night Stay),Saswad night stay -11/07/2026 & 12/07/2026,,18.3463128,74.0301826,0,#icon-seq2-2-2-FBC02D,"https://www.google.com/maps/search/?api=1&query=18.3463128,74.0301826"
Palakhi Route Night Stay,Jejuri (Night STAY),Jejuri night stay - 13/07/2026,,18.2780997,74.1612194,0,#icon-seq2-2-3-FBC02D,"https://www.google.com/maps/search/?api=1&query=18.2780997,74.1612194"
Palakhi Route Night Stay,Walhe (Night Stay),Walha Night stay - 14/07/2026,,18.1808194,74.1533563,0,#icon-seq2-2-4-FBC02D,"https://www.google.com/maps/search/?api=1&query=18.1808194,74.1533563"
